,All (Mean),All (Std),Female (Mean),Female (Std),Male (Mean),Male (Std)
gender,0.5093601447141475,0.4999228955189492,1.0,1.1102688741378494e-16,0.0,0.0
emp_in,0.7003491649488873,0.45811465910729293,0.6379253386190948,0.4806200983159832,0.7651547629254909,0.4239202284797364
fin2,0.1930082874090278,0.39466776031686956,0.16790551701354475,0.37379779860772305,0.21906885021006603,0.41363312095078686
fin7,0.04627487274409996,0.21008418690158873,0.03889990089197225,0.19336438820503105,0.05393123553116694,0.22589163881370306
fin15,0.21585124731816077,0.4114202317196355,0.18921374297984803,0.39169449037039966,0.24350510160336106,0.42921575329296385
fin16,0.11821126582810988,0.3228649062815253,0.10018169805087546,0.30025451061718494,0.13692874903541113,0.3437868531923712
fin19,0.06083042362542594,0.23902402942001463,0.0498017839444995,0.21754419062000774,0.07227985938437795,0.2589618335284232
fin20,0.17252113920323084,0.37784070918832796,0.16765774694416916,0.37357750616177826,0.17757009345794392,0.38216681959729837
fin21,0.11812712969584788,0.32276538456181686,0.10530227948463826,0.30695519408393995,0.1314413101260396,0.3378968504767113
has_access,0.4391064742753776,0.4962885652398347,0.37033366369342585,0.482913969263272,0.5105033010374689,0.49991110045078385
fin26,0.33015018299608767,0.4702768795632258,0.28278823918070695,0.45037296008468397,0.3793192146103061,0.48523843247858806
fin28,0.37032518615119264,0.4829019079322284,0.36058804096465147,0.4801909511455511,0.38043385063877216,0.48551431205057133
fin30,0.30133355769635267,0.4588469262555034,0.2895606210769739,0.45357718111754003,0.3135556889308068,0.4639579455817276
fin32,0.25505868495225276,0.4359033672838534,0.2003633961017509,0.40028881960133855,0.3118408642716282,0.46326508713403414
fin37,0.08333683900551092,0.2763964979173736,0.08605880409646514,0.2804624445405514,0.08051101774843522,0.27209436166706163
fin38,0.04564385175213496,0.20871589094277423,0.04476379253386191,0.20679344102885333,0.04655748949669896,0.21069811588785312
fin42,0.25669933953136176,0.436821262922988,0.2268747935249422,0.41882825751260394,0.28766183657721,0.45269203142042547
fin48,0.7194480669723613,0.4492783517875269,0.6855797819623389,0.4643037250708212,0.7546085912715425,0.43033747652179005
mobileowner,0.7032097934457953,0.4568528866776569,0.6539478031053849,0.4757297190539145,0.7543513675726657,0.43048957186932113
educ_1,0.5268183921585124,0.4992907580190012,0.5756524611826891,0.49426397967294267,0.476121066620938,0.4994508832636446
educ_2,0.43489966766227756,0.49575425958257296,0.39634952097786585,0.4891588086061347,0.474920689359513,0.4993920417774503
educ_3,0.03828194017920996,0.19188012428758772,0.027998017839444996,0.1649738665294809,0.048958244019549,0.21579000655872535
inc_q_1,0.15948003870262084,0.3661308444501791,0.18293690122233233,0.3866307504917238,0.1351281831432736,0.3418750920689054
inc_q_2,0.17214252660805182,0.37751221502277893,0.19061777337297656,0.39280450749243295,0.15296235959873103,0.359966645884811
inc_q_3,0.1864036010264608,0.38944021203318535,0.19540799471423853,0.39653082666851397,0.17705564606019034,0.3817321553428636
inc_q_4,0.2109713516469648,0.40800667087537973,0.20614469772051536,0.4045523182709246,0.21598216582354454,0.41151961072286436
inc_q_5,0.2710024820159017,0.44448672430076996,0.22489263296993722,0.4175288427787894,0.3188716453742605,0.4660591626626199
economy_Benin,0.03777712338563796,0.19066080240410357,0.033118599273207795,0.178953632406663,0.042613392780588184,0.2019925490297061
economy_Botswana,0.03769298725337596,0.19045669306131693,0.05128840436075322,0.22059447619613537,0.023578839063705736,0.15173942003071667
economy_Burkina Faso,0.035463379748432965,0.18495179770579603,0.022299306243805748,0.14766126088157863,0.04912972648546686,0.21614810267845866
